Title,URL,Year,Investigation Type,Geographic Keywords,Culture,Language
"            Measuring the Quality of Personal Goods: Antipodean Adventures in the Archaeology of Consumption             (2018)
",https://core.tdar.org//document/452664/measuring-the-quality-of-personal-goods-antipodean-adventures-in-the-archaeology-of-consumption,2018,"Collections Research, Historic Background Research, Methodology, Theory, or Synthesis",Sydney NSW Australia,Colonial Australian,"
            English
            "
"            Metal Artifact Photograph, Archaeological Investigation of Site 46SU633 1997             (2018)
",https://core.tdar.org//image/447959/metal-artifact-photograph-archaeological-investigation-of-site-46su633-1997,2018,Heritage Management,"Monroe (County), Summers County (County), West Virginia (State / Territory)",,
"            Metal Artifact Photographs, Archaeological Survey and Test Excavations in the Burnsville Reservoir 1971-1975             (2018)
",https://core.tdar.org//image/447956/metal-artifact-photographs-archaeological-survey-and-test-excavations-in-the-burnsville-reservoir-1971-1975,2018,"Heritage Management, Reconnaissance / Survey","Braxton (County), Burnsville Reservoir, West Virginia (State / Territory)",,
"            ORGANIC RESIDUE (FTIR) ANALYSIS OF SEDIMENT SAMPLES FROM SITES T-032118-01 AND T-031618-01, POHAKULOA TRAINING AREA, HAWAI’I COUNTY, HAWAI’I             (2018)
",https://core.tdar.org//document/448228/organic-residue-ftir-analysis-of-sediment-samples-from-sites-t-032118-01-and-t-031618-01-pohakuloa-training-area-hawaii-county-hawaii,2018,Data Recovery / Excavation,"Hawai'i (State/Territory), Hawai'i County (County), Hawaii (State / Territory), Hawaii County (County), Mauna Kea, Mauna Kea Recreation Area, Mauna Loa, Old Saddle Road, Pohakuloa Training Area",Historic,"
            English
            "
"            PACJ drone photos             (2018)
",https://core.tdar.org//image/448864/pacj-drone-photos,2018,"Archaeological Overview, Bioarchaeological Research, Data Recovery / Excavation, Environment Research, Methodology, Theory, or Synthesis, Reconnaissance / Survey, Records Search / Inventory Checking, Research Design / Data Recovery Plan, Systematic Survey","Mesoamerica, Mixteca Alta, Oaxaca",,
"            PHYTOLITH, ORGANIC RESIDUE (FTIR), AND ELEMENTAL COMPOSITION (XRF) ANALYSIS ON CERAMIC SAMPLES FROM  SITE XALTOCAN OP Z3, NEXTALPAN, MEXICO             (2018)
",https://core.tdar.org//document/455193/phytolith-organic-residue-ftir-and-elemental-composition-xrf-analysis-on-ceramic-samples-from-site-xaltocan-op-z3-nextalpan-mexico,2018,Data Recovery / Excavation,"Mexico (Country), Nextalpan Municipality, Xaltocan-Zumpanog Lake Bed",Aztec,"
            English
            "
"            POLLEN ANALYSIS OF SEVEN SAMPLES (BATCH XXV) FOR RICE’S HONEY             (2018)
",https://core.tdar.org//document/447951/pollen-analysis-of-seven-samples-batch-xxv-for-rices-honey,2018,Data Recovery / Excavation,"California (State / Territory), Georgia (State / Territory), Montana (State / Territory), Oregon (State / Territory), Utah (State / Territory)",,"
            English
            "
"            POLLEN AND MACROFLORAL ANALYSIS OF SAMPLES FROM SITES 42SA27020 AND 42SA27022, SAN JUAN COUNTY, UTAH             (2018)
",https://core.tdar.org//document/448766/pollen-and-macrofloral-analysis-of-samples-from-sites-42sa27020-and-42sa27022-san-juan-county-utah,2018,Data Recovery / Excavation,"Moab, San Juan (County), Spanish Valley, Utah (State / Territory)","Mesa Verde Black-on-White Ware, Mesa Verde Grey Ware, Pueblo II - III Periods, San Juan Red Ware","
            English
            "
"            POLLEN AND MACROFLORAL ANALYSIS OF SAMPLES FROM THE JAMES W. HATCH SITE, 36CE0544, CENTRE COUNTY, PENNSYLVANIA             (2018)
",https://core.tdar.org//document/448115/pollen-and-macrofloral-analysis-of-samples-from-the-james-w-hatch-site-36ce0544-centre-county-pennsylvania,2018,Data Recovery / Excavation,"Appalachian Mountains, Centre County (County), Millbrook Marsh, Millbrook Marsh Nature Center, Nittany Mountain, Pennsylvania (State / Territory), Pennsylvania State University, Slab Cabin Run, Spring Creek",,"
            English
            "
"            POLLEN AND MACROFLORAL ANALYSIS, CHARCOAL IDENTIFICATION, MICROCHARCOAL EXTRACTION, AND AMS RADIOCARBON AGE DETERMINATION OF SAMPLES FROM SITE 42WS1220, WASHINGTON COUNTY, UTAH             (2018)
",https://core.tdar.org//document/448056/pollen-and-macrofloral-analysis-charcoal-identification-microcharcoal-extraction-and-ams-radiocarbon-age-determination-of-samples-from-site-42ws1220-washington-county-utah,2018,Data Recovery / Excavation,"Cottonwood Wash, Interstate 15, Saint George, Saint George Basin, Washington County (County)","Ancestral Puebloan, Archaic, South Pauite","
            English
            "
"            POLLEN AND STARCH ANALYSIS OF A MANO FROM SITE CA-MEN-3638 AND PROTEIN RESIDUE (CIEP) ANALYSIS OF A LITHIC SAMPLE FROM SITE CA-MEN-3678, MENDOCINO COUNTY, CALIFORNIA             (2018)
",https://core.tdar.org//document/448158/pollen-and-starch-analysis-of-a-mano-from-site-ca-men-3638-and-protein-residue-ciep-analysis-of-a-lithic-sample-from-site-ca-men-3678-mendocino-county-california,2018,Data Recovery / Excavation,"California (State / Territory), Little Lakes Valley, Little Valley, Little Valley wetlands, Mendocino County (County), Northern Coast Range, Northern cut-bank Upp Creek, Upp Creek, Western Little Valley",,"
            English
            "
"            POLLEN AND STARCH ANALYSIS OF SAMPLES FROM SITES 5DA3208 AND 5DA3419, DOUGLAS COUNTY, COLORADO             (2018)
",https://core.tdar.org//document/448227/pollen-and-starch-analysis-of-samples-from-sites-5da3208-and-5da3419-douglas-county-colorado,2018,Data Recovery / Excavation,"Colorado (State / Territory), Douglas County (County), Newlin Gulch, Oak Gulch, Palmer Divide, Parker","Archaic, Early Archaic, Early Ceramic, Late Archaic, Middle Archaic","
            English
            "
"            POLLEN, PHYTOLITH, STARCH, MACROFLORAL, ELEMENTAL COMPOSITION (XRF), AND ORGANIC RESIDUE (FTIR) ANALYSIS OF A STONE PIPE FROM THE JUNCTION SITE, DkPi-2, ALBERTA             (2018)
",https://core.tdar.org//document/448260/pollen-phytolith-starch-macrofloral-elemental-composition-xrf-and-organic-residue-ftir-analysis-of-a-stone-pipe-from-the-junction-site-dkpi-2-alberta,2018,Data Recovery / Excavation,"Alberta (State / Territory), Canada (Country), Crowsnest Highway, Fort MacLeod, Hwy 2",Old Women's Phase,"
            English
            "
"            POLLEN, PHYTOLITH, STARCH, MACROFLORAL, ORGANIC RESIDUE (FTIR), AND ELEMENTAL COMPOSITION (XRF) ANALYSIS OF SAMPLES FROM SITE JR4269A, JAMESTOWN, JAMES CITY COUNTY, VIRGINIA             (2018)
",https://core.tdar.org//document/448222/pollen-phytolith-starch-macrofloral-organic-residue-ftir-and-elemental-composition-xrf-analysis-of-samples-from-site-jr4269a-jamestown-james-city-county-virginia,2018,Data Recovery / Excavation,"James City County (County), Jamestown, Virginia (State / Territory)","Euroamerican, Historic","
            English
            "
"            POLLEN, PHYTOLITH, STARCH, PROTEIN RESIDUE (CIEP), AND ORGANIC RESIDUE (FTIR) ANALYSIS OF TOOLS FROM SAOYÚ ÆEHDACHO NATIONAL HISTORIC SITE, NORTHWEST TERRITORIES, CANADA             (2018)
",https://core.tdar.org//document/448231/pollen-phytolith-starch-protein-residue-ciep-and-organic-residue-ftir-analysis-of-tools-from-saoyu-ehdacho-national-historic-site-northwest-territories-canada,2018,Data Recovery / Excavation,"Canada (Country), Great Bear Lake, Grizzly Bear Mountain, Northwest Territories (State / Territory), Saoyu, Saoyú Æehdacho",,"
            English
            "
